time,latitude,longitude,number,step,isobaricInhPa,valid_time,r,t,u,v,vo,temperature_celsius,wind_speed,wind_direction_degrees
2022-01-01 00:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 00:00:00,85.89378,274.87744,-1.6562033,3.259509,-9.061712e-05,1.7274400000000014,3.656146645310044,153.06422284265193
2022-01-01 01:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 01:00:00,89.99194,274.79663,-1.3351278,3.1376848,-6.729447e-05,1.646630000000016,3.409931399087653,156.94958378215028
2022-01-01 02:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 02:00:00,91.93182,274.80127,-0.6556201,1.268527,-4.0829662e-05,1.651270000000011,1.4279350353755629,152.6684627927488
2022-01-01 03:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 03:00:00,93.30507,274.60864,-1.3160295,0.4745186,-1.9702245e-05,1.4586400000000026,1.3989644550939133,109.82769964870783
2022-01-01 04:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 04:00:00,94.46991,274.5288,-1.5588055,0.5688937,-4.2502097e-06,1.3788000000000125,1.6593717572412578,110.04980168577526
2022-01-01 05:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 05:00:00,94.85434,274.4558,-2.3235683,-0.2710889,1.5332116e-05,1.3058000000000334,2.3393287149240267,83.34543065196463
2022-01-01 06:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 06:00:00,95.198364,274.50952,-2.5110846,-0.6233344,3.154874e-05,1.3595200000000318,2.587294270580855,76.05907509686367
2022-01-01 07:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 07:00:00,95.171326,274.54907,-2.1025782,-1.3275547,4.0523475e-05,1.3990699999999947,2.486611463137603,57.731942298060304
2022-01-01 08:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 08:00:00,95.42758,274.64575,-1.1004982,-2.5747128,5.5420896e-05,1.4957500000000437,2.8000432658598475,23.143104305318747
2022-01-01 09:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 09:00:00,93.92735,274.75122,-0.60212916,-3.371954,6.552281e-05,1.601220000000012,3.425293170436409,10.124581370401494
2022-01-01 10:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 10:00:00,92.36159,274.5276,-0.5368409,-4.7164297,0.000100282865,1.3776000000000295,4.74688395339036,6.4936632681990805
2022-01-01 11:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 11:00:00,90.792694,274.46875,-0.6002901,-6.1217155,0.00013463771,1.3187500000000227,6.1510770493547104,5.600469514609823
2022-01-01 12:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 12:00:00,90.81967,274.0083,-1.0687075,-7.2216825,0.00016295114,0.8583000000000425,7.300331078202036,8.41787477321427
2022-01-01 13:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 13:00:00,88.5963,273.65845,-0.7234057,-7.4322996,0.00014174849,0.5084500000000389,7.4674221221886645,5.559240939092712
2022-01-01 14:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 14:00:00,86.00539,273.2964,-1.4857635,-7.1959944,0.0001426314,0.14640000000002829,7.34777711847356,11.665980716847736
2022-01-01 15:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 15:00:00,81.86557,273.1006,-1.2192049,-7.0005703,0.00012491652,-0.04939999999999145,7.105944350571998,9.879425963833834
2022-01-01 16:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 16:00:00,78.93225,272.8777,-0.61143637,-6.689599,0.00011006219,-0.2722999999999729,6.717483845560016,5.22238377991369
2022-01-01 17:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 17:00:00,77.68176,272.62573,-0.80544555,-7.2598333,0.000121512654,-0.5242700000000013,7.304376912359034,6.330816250279671
2022-01-01 18:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 18:00:00,76.107346,272.4182,-0.38297677,-7.758686,0.00012095057,-0.7317999999999643,7.768132314331138,2.8258853573769143
2022-01-01 19:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 19:00:00,76.36772,272.0244,-1.0184536,-7.9291906,0.00012682978,-1.125599999999963,7.99432994731149,7.31920028763725
2022-01-01 20:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 20:00:00,77.32408,271.51465,-1.9406137,-7.700718,0.00013745294,-1.63534999999996,7.94147588601462,14.144272708350718
2022-01-01 21:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 21:00:00,77.90178,271.0227,-2.0398865,-7.5733576,0.00013462195,-2.127299999999991,7.843269871065257,15.074876233255765
2022-01-01 22:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 22:00:00,79.55316,270.09863,-2.2263489,-7.5618715,0.00013738549,-3.051369999999963,7.88279963002,16.40536263899036
2022-01-01 23:00:00,44.28,-81.52,0,0 days,975.0,2022-01-01 23:00:00,78.89969,269.6577,-2.4442854,-7.6857834,0.00013675018,-3.4923,8.065097494039902,17.64206053460429
2022-01-02 00:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 00:00:00,78.257,269.28882,-3.4193478,-7.72923,0.00015246715,-3.8611799999999903,8.451800741277852,23.86420450143881
2022-01-02 01:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 01:00:00,76.00459,269.06958,-3.5804586,-7.539523,0.00015593757,-4.080420000000004,8.346501713523036,25.402665639618466
2022-01-02 02:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 02:00:00,75.14499,268.76855,-3.2671013,-7.9481907,0.00016025317,-4.3814499999999725,8.593467653283405,22.34509776003568
2022-01-02 03:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 03:00:00,75.70633,268.34326,-4.106887,-7.8244705,0.00016542536,-4.806739999999991,8.836790109317933,27.693961642338305
2022-01-02 04:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 04:00:00,76.41275,267.95312,-4.3736677,-7.1623974,0.00015438962,-5.196879999999965,8.392193138003321,31.410032810997137
2022-01-02 05:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 05:00:00,76.93404,267.6516,-3.7681713,-7.8352966,0.000160112,-5.498400000000004,8.694307779007783,25.683953398752553
2022-01-02 06:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 06:00:00,77.311325,267.4131,-4.3521204,-7.9289026,0.00017423238,-5.7368999999999915,9.044802287301968,28.762082093043738
2022-01-02 07:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 07:00:00,76.911804,267.23438,-3.8916597,-8.211189,0.00017431936,-5.91561999999999,9.086728785119819,25.358422623207606
2022-01-02 08:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 08:00:00,76.91547,266.97168,-3.76684,-8.484734,0.00017347194,-6.178319999999985,9.283307311317232,23.93906681847904
2022-01-02 09:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 09:00:00,76.64099,266.7024,-3.4988947,-8.237097,0.00016648004,-6.447599999999966,8.949415126649177,23.014464748219737
2022-01-02 10:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 10:00:00,77.88309,265.89722,-3.0867224,-7.346423,0.00014646197,-7.252779999999973,7.968549809695033,22.79052486499115
2022-01-02 11:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 11:00:00,76.48964,265.86084,-2.6829052,-7.552944,0.00014276698,-7.289159999999981,8.015294341402756,19.555708501409274
2022-01-02 12:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 12:00:00,75.320816,265.79834,-2.108756,-7.954777,0.00014348257,-7.351659999999981,8.22954002282418,14.847207833738105
2022-01-02 13:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 13:00:00,74.91182,265.67432,-1.670826,-8.651129,0.00015212406,-7.475679999999954,8.810998382528338,10.931168218653852
2022-01-02 14:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 14:00:00,76.10635,265.41016,-1.5028038,-9.207412,0.00015267216,-7.739839999999958,9.329247290057136,9.26989154825715
2022-01-02 15:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 15:00:00,74.45328,265.29883,-1.466485,-9.130736,0.00014108568,-7.851169999999968,9.247752059658662,9.12433635417625
2022-01-02 16:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 16:00:00,73.02623,265.15625,-0.45035934,-8.867425,0.00012213938,-7.993749999999977,8.878854073907862,2.9074435332051807
2022-01-02 17:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 17:00:00,71.43059,265.08936,-0.033475183,-8.582669,0.00010793217,-8.060639999999978,8.58273428176813,0.22347092479186645
2022-01-02 18:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 18:00:00,69.913635,265.0769,0.33772606,-7.9593315,9.629161e-05,-8.073099999999954,7.966493382818778,357.57031385542155
2022-01-02 19:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 19:00:00,69.02672,265.03247,1.1520433,-8.274367,8.8772635e-05,-8.117529999999988,8.35418176817837,352.07364221879715
2022-01-02 20:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 20:00:00,69.43393,264.8401,1.5425072,-8.678763,8.605546e-05,-8.30989999999997,8.814774850909174,349.9218594694542
2022-01-02 21:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 21:00:00,67.65886,264.6692,1.5045385,-8.673577,7.909603e-05,-8.480799999999988,8.803100253485203,350.1592632177333
2022-01-02 22:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 22:00:00,70.10521,263.97534,1.0196009,-6.9368725,7.3219664e-05,-9.17465999999996,7.0114040018057056,351.6383778936805
2022-01-02 23:00:00,44.28,-81.52,0,0 days,975.0,2022-01-02 23:00:00,69.64584,263.9541,1.935771,-6.2804127,6.237379e-05,-9.195899999999995,6.5719702560771145,342.8694705283301
2022-01-03 00:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 00:00:00,68.50336,264.0691,2.6349993,-6.2734556,5.2780815e-05,-9.080899999999986,6.804371130102462,337.2164456763472
2022-01-03 01:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 01:00:00,67.47926,264.2063,2.578783,-6.1999416,4.6592657e-05,-8.943699999999978,6.714863930453062,337.4157832750648
2022-01-03 02:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 02:00:00,65.44351,264.44922,2.2218113,-5.8096027,3.6863814e-05,-8.700779999999952,6.2199621369149005,339.0712596941722
2022-01-03 03:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 03:00:00,64.124084,264.65845,2.1864576,-5.8383007,1.5050547e-05,-8.491549999999961,6.234288403676738,339.4689544773306
2022-01-03 04:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 04:00:00,62.06682,264.92822,2.0651388,-6.3632135,-1.4412044e-06,-8.221779999999967,6.68993903633267,342.01950470239706
2022-01-03 05:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 05:00:00,60.879684,265.16113,2.1571455,-5.891885,-1.7843311e-05,-7.988869999999963,6.274359374581222,339.8912377329433
2022-01-03 06:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 06:00:00,61.192383,265.33203,1.9834776,-5.441202,-3.0989773e-05,-7.8179700000000025,5.7914473661171915,339.9717196144092
2022-01-03 07:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 07:00:00,60.462082,265.58398,1.3252401,-4.616023,-3.397424e-05,-7.56601999999998,4.802492025935807,343.98145806511883
2022-01-03 08:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 08:00:00,60.302307,265.77466,0.7859429,-3.5429363,-2.8074253e-05,-7.375339999999994,3.629063772919691,347.4924035859644
2022-01-03 09:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 09:00:00,60.86577,265.8794,0.47571313,-3.027381,-1.7314072e-05,-7.270600000000002,3.064529115739545,351.06974549555116
2022-01-03 10:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 10:00:00,67.765945,265.2932,-0.07793975,-1.5437241,1.1390968e-05,-7.856799999999964,1.54569036406095,2.8903028459555067
2022-01-03 11:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 11:00:00,67.644516,265.43726,0.38517898,-0.9997805,4.4403074e-05,-7.712739999999997,1.071412103167633,338.9301448073675
2022-01-03 12:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 12:00:00,67.476974,265.6233,0.20116198,-0.41688305,6.970677e-05,-7.526700000000005,0.4628797031355154,334.24091728121743
2022-01-03 13:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 13:00:00,68.463806,265.66992,-0.5588822,0.5703579,7.4361174e-05,-7.480079999999987,0.7985345625389361,135.58223804140317
2022-01-03 14:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 14:00:00,69.10982,265.6626,-0.60068077,1.2850151,5.5397206e-05,-7.48739999999998,1.4184784787496083,154.94624529402552
2022-01-03 15:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 15:00:00,69.245056,265.6931,-0.65414417,2.548833,6.0935956e-05,-7.456899999999962,2.6314357786261837,165.60600870616082
2022-01-03 16:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 16:00:00,68.30092,265.9485,0.23865932,3.6791582,5.363158e-05,-7.201499999999953,3.6868907404003854,183.71145781410127
2022-01-03 17:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 17:00:00,65.660324,266.47534,1.911706,4.5280304,5.846964e-05,-6.67465999999996,4.915046198537727,202.8891656777109
2022-01-03 18:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 18:00:00,66.550385,266.9624,3.1273365,5.193305,2.0458509e-05,-6.187599999999975,6.062231470940156,211.05576983371068
2022-01-03 19:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 19:00:00,63.553345,267.5542,4.2582445,5.4635563,-1.7014318e-05,-5.595799999999997,6.926983013191958,217.93251640235053
2022-01-03 20:00:00,44.28,-81.52,0,0 days,975.0,2022-01-03 20:00:00,60.31642,268.0254,5.211465,5.945225,-4.766439e-05,-5.124599999999987,7.90601465637713,221.23715535283594
