time,latitude,longitude,number,step,isobaricInhPa,valid_time,r,t,u,v,speed,direction
01/04/2024 00:00,37,4.5,0,0 days,975,01/04/2024 00:00,69.15523,288.4839,10.761688,2.6325073,11.07899017,193.7456749
01/04/2024 00:00,37,4.75,0,0 days,975,01/04/2024 00:00,66.10835,288.9292,12.064423,1.0963745,12.114138,185.1925861
01/04/2024 00:00,37,5,0,0 days,975,01/04/2024 00:00,61.22554,289.4292,13.713837,-0.86065674,13.74081713,176.4089254
01/04/2024 00:00,36.75,4.5,0,0 days,975,01/04/2024 00:00,71.48726,288.8921,3.9872742,1.2125854,4.167579501,196.9152441
01/04/2024 00:00,36.75,4.75,0,0 days,975,01/04/2024 00:00,66.616165,289.6089,4.599579,0.3805542,4.615295058,184.7296938
01/04/2024 00:00,36.75,5,0,0 days,975,01/04/2024 00:00,59.530228,290.13428,5.165985,-0.8245239,5.231370822,170.9317171
01/04/2024 00:00,36.5,4.5,0,0 days,975,01/04/2024 00:00,66.0771,290.10693,0.32125854,-0.61065674,0.690006307,117.7482721
01/04/2024 00:00,36.5,4.75,0,0 days,975,01/04/2024 00:00,58.623978,291.07373,0.02243042,-0.74542236,0.745759759,91.72356075
01/04/2024 00:00,36.5,5,0,0 days,975,01/04/2024 00:00,52.866165,291.6128,-0.50686646,-0.8274536,0.970357186,58.50995615
01/04/2024 00:00,36.25,4.5,0,0 days,975,01/04/2024 00:00,53.02632,292.30615,0.6161804,-1.1760864,1.327726442,117.6511414
01/04/2024 00:00,36.25,4.75,0,0 days,975,01/04/2024 00:00,46.16304,293.4214,0.39157104,-1.0549927,1.125316612,110.3629092
01/04/2024 00:00,36.25,5,0,0 days,975,01/04/2024 00:00,42.791946,294.16553,-0.08792114,-0.98760986,0.991515689,84.91270242
01/04/2024 00:00,36,4.5,0,0 days,975,01/04/2024 00:00,36.842728,295.50732,-0.19534302,-1.045227,1.063324211,79.41408296
01/04/2024 00:00,36,4.75,0,0 days,975,01/04/2024 00:00,36.498978,296.13428,0.063446045,-0.20147705,0.211230685,107.4794533
