Time,U,V,Y,
0,0.0538,98.0101,1,0
3600,0.1795,83.039,1,0
7200,0.2295,49.5965,1,0
10800,0.0825,43.5083,2.781,0
14400,0.0274,42.9511,8.3776,0
18000,0.1352,32.4963,1.6975,0
21600,0.0465,31.2393,4.9344,0
25200,0.0302,30.8142,7.6116,0.0001
28800,0.3536,33.4777,1,0.0001
32400,0.2763,24.6407,1.2797,0.0001
36000,0.1352,22.4167,2.6155,0.0001
39600,0.2996,17.9584,1.1803,0.0001
43200,0.0648,17.5925,5.4594,0.0001
46800,0.0155,17.5765,22.7651,0.0001
50400,0.0612,17.2612,5.7754,0.0001
54000,0.0305,17.1929,11.5785,0.0001
57600,0.0211,17.1625,16.7696,0.0001
61200,0.1435,15.7626,2.4637,0.0001
64800,0.1386,14.6096,2.5518,0.0001
68400,0.1418,13.5523,2.4944,0.0001
72000,0.0654,13.3286,5.409,0.0001
75600,0.1239,12.6447,2.8542,0.0001
79200,0.0674,12.428,5.2449,0.0001
82800,0.1595,11.4474,2.2165,0.0001
86400,0.0465,11.3642,7.6037,0.0002
90000,0.0988,10.9967,3.5777,0.0002
93600,0.067,10.8382,5.282,0.0002
97200,0.0347,10.78,10.1774,0.0002
100800,0.0242,10.7646,14.6209,0.0002
104400,0.0848,10.4923,4.1709,0.0002
108000,0.0826,10.2644,4.2812,0.0002
111600,0.1218,9.8158,2.9042,0.0002
115200,0.1133,9.4502,3.1203,0.0002
118800,0.0835,9.2488,4.2355,0.0002
122400,0.2951,8.8988,1.1984,0.0002
126000,0.1423,8.4803,2.4854,0.0002
129600,0.0303,8.4646,11.6896,0.0003
133200,0.0778,8.3196,4.5472,0.0003
136800,0.1336,7.9841,2.6466,0.0003
140400,0.1751,7.5338,2.02,0.0003
144000,0.0123,7.5292,28.6816,0.0003
147600,0.0244,7.5148,14.5202,0.0003
151200,0.0287,7.5022,12.3383,0.0003
154800,0.0257,7.4928,13.7766,0.0003
158400,0.0915,7.3387,3.8634,0.0003
162000,0.0075,7.337,47.2486,0.0003
165600,0.0218,7.3263,16.2104,0.0003
169200,0.0561,7.2732,6.3008,0.0003
172800,0.1028,7.1042,3.4405,0.0003
176400,0.1054,6.9373,3.3555,0.0003
180000,0.0914,6.7967,3.8689,0.0003
183600,0.0028,6.797,127.4328,0.0003
187200,0.127,6.572,2.785,0.0003
190800,0.1172,6.3879,3.0185,0.0003
194400,0.0064,6.387,55.0832,0.0003
198000,0.1476,6.126,2.396,0.0003
201600,0.0823,6.0351,4.2967,0.0003
205200,0.0355,6.0196,9.9697,0.0003
208800,0.0229,6.0112,15.4761,0.0003
212400,0.1088,5.8705,3.2495,0.0004
216000,0.1154,5.7205,3.0655,0.0004
219600,0.0053,5.7199,66.8972,0.0004
223200,0.0459,5.6957,7.7017,0.0004
226800,0.1017,5.5827,3.4779,0.0004
230400,0.149,5.3756,2.373,0.0004
234000,0.0053,5.3759,67.072,0.0004
237600,0.151,5.1827,2.3425,0.0004
241200,0.0757,5.1214,4.6739,0.0004
244800,0.1093,5.0125,3.2345,0.0004
248400,0.2314,4.7394,1.5285,0.0004
252000,0.0658,4.6999,5.3703,0.0004
255600,0.0699,4.6595,5.0565,0.0004
