time,latitude,longitude,number,step,isobaricInhPa,valid_time,r,t,u,v,vo,temperature_estimated,system_torque_knm,generator_speed_rpm,degradation,cycle_factor,maintenance_performed
1/1/2022 0:00,44.28,-81.52,0,0 days,975,1/1/2022 0:00,85.89378,274.87744,-1.6562033,3.259509,-9.06E-05,22.87323545,89.92593605,378.939433,2.86E-05,218.2372711,FALSE
1/1/2022 1:00,44.28,-81.52,0,0 days,975,1/1/2022 1:00,89.99194,274.79663,-1.3351278,3.1376848,-6.73E-05,22.68461508,78.22202195,353.4205809,5.12E-05,218.2372711,FALSE
1/1/2022 2:00,44.28,-81.52,0,0 days,975,1/1/2022 2:00,91.93182,274.80127,-0.6556201,1.268527,-4.08E-05,28.11273915,13.71685832,147.9975901,5.33E-05,218.2372711,FALSE
1/1/2022 3:00,44.28,-81.52,0,0 days,975,1/1/2022 3:00,93.30507,274.60864,-1.3160295,0.4745186,-1.97E-05,24.138699,13.16591703,144.9949493,5.53E-05,218.2372711,FALSE
1/1/2022 4:00,44.28,-81.52,0,0 days,975,1/1/2022 4:00,94.46991,274.5288,-1.5588055,0.5688937,-4.25E-06,24.65413049,18.52358924,171.9847298,5.80E-05,218.2372711,FALSE
1/1/2022 5:00,44.28,-81.52,0,0 days,975,1/1/2022 5:00,94.85434,274.4558,-2.3235683,-0.2710889,1.53E-05,27.38398235,36.81461452,242.4585179,6.47E-05,218.2372711,FALSE
1/1/2022 6:00,44.28,-81.52,0,0 days,975,1/1/2022 6:00,95.198364,274.50952,-2.5110846,-0.6233344,3.15E-05,27.51122857,45.03284734,268.15878,7.38E-05,218.2372711,FALSE
1/1/2022 7:00,44.28,-81.52,0,0 days,975,1/1/2022 7:00,95.171326,274.54907,-2.1025782,-1.3275547,4.05E-05,26.43588857,41.59619607,257.7235624,8.18E-05,218.2372711,FALSE
1/1/2022 8:00,44.28,-81.52,0,0 days,975,1/1/2022 8:00,95.42758,274.64575,-1.1004982,-2.5747128,5.54E-05,27.03898785,52.7432926,290.2090399,9.35E-05,218.2372711,FALSE
1/1/2022 9:00,44.28,-81.52,0,0 days,975,1/1/2022 9:00,93.92735,274.75122,-0.60212916,-3.371954,6.55E-05,29.6160642,78.92839128,355.0127437,0.000116356,218.2372711,FALSE
1/1/2022 10:00,44.28,-81.52,0,0 days,975,1/1/2022 10:00,92.36159,274.5276,-0.5368409,-4.7164297,0.000100283,25.28850604,151.5845655,491.9883387,0.000187844,218.2372711,FALSE
