U,V,Y,d,Time,time,latitude,longitude,number,step,isobaricInhPa,valid_time,r,temperature,u,v,speed,direction,system_torque_knm,generator_speed_rpm,degradation,cycle_factor
0.181218985,82.46831686,0.619162371,-1.51e-06,01/01/2023 00:00,01/04/2024 00:00,37.0,4.5,0,0 days,975,01/04/2024 00:00,69.15523,288.4839,10.761688,2.6325073,11.07899017,193.7456749,825.7300852656732,1148.2762216054307,0.369653447195987,41.26660650909937
0.228320055,49.32848299,1.592565596,2.33e-08,01/01/2023 01:00,01/04/2024 00:00,37.0,4.75,0,0 days,975,01/04/2024 00:00,66.10835,288.9292,12.064423,1.0963745,12.114138,185.1925861,975.6227517948934,1243.7338098353562,0.7934356248452171,41.26660650909937
0.084611238,44.14160243,2.934738335,-3.38e-06,01/01/2023 02:00,01/04/2024 00:00,37.0,5.0,0,0 days,975,01/04/2024 00:00,61.22554,289.4292,13.713837,-0.86065674,13.74081713,176.4089254,1033.9385147508262,1243.7338098353562,1.0,41.26660650909937
0.031822743,42.9264994,9.443976041,2.59e-06,01/01/2023 03:00,01/04/2024 00:00,36.75,4.5,0,0 days,975,01/04/2024 00:00,71.48726,288.8921,3.9872742,1.2125854,4.167579501,196.9152441,116.84376438021098,431.94662756150746,1.0,41.26660650909937
0.136275146,33.31799427,1.302594135,3.06e-06,01/01/2023 04:00,01/04/2024 00:00,36.75,4.75,0,0 days,975,01/04/2024 00:00,66.616165,289.6089,4.599579,0.3805542,4.615295058,184.7296938,143.29686716823093,478.349875544735,1.0,41.26660650909937
0.050235221,31.97728355,4.359977195,2.52e-06,01/01/2023 05:00,01/04/2024 00:00,36.75,5.0,0,0 days,975,01/04/2024 00:00,59.530228,290.13428,5.165985,-0.8245239,5.231370822,170.9317171,184.10634893105959,542.2027303047631,1.0,41.26660650909937
0.032600509,30.41292389,7.969430235,9.74e-05,01/01/2023 06:00,01/04/2024 00:00,36.5,4.5,0,0 days,975,01/04/2024 00:00,66.0771,290.10693,0.32125854,-0.61065674,0.690006307,117.7482721,0.0,0.0,1.0,41.26660650909937
0.353771631,33.79914386,1.349943085,9.94e-05,01/01/2023 07:00,01/04/2024 00:00,36.5,4.75,0,0 days,975,01/04/2024 00:00,58.623978,291.07373,0.02243042,-0.74542236,0.745759759,91.72356075,0.0,0.0,1.0,41.26660650909937
0.27768032,24.88161719,0.669398122,9.39e-05,01/01/2023 08:00,01/04/2024 00:00,36.5,5.0,0,0 days,975,01/04/2024 00:00,52.866165,291.6128,-0.50686646,-0.8274536,0.970357186,58.50995615,0.0,0.0,1.0,41.26660650909937
0.134459455,22.04594763,3.123442301,9.89e-05,01/01/2023 09:00,01/04/2024 00:00,36.25,4.5,0,0 days,975,01/04/2024 00:00,53.02632,292.30615,0.6161804,-1.1760864,1.327726442,117.6511414,0.0,0.0,1.0,41.26660650909937
0.299232178,18.6365021,1.978650757,0.000100056,01/01/2023 10:00,01/04/2024 00:00,36.25,4.75,0,0 days,975,01/04/2024 00:00,46.16304,293.4214,0.39157104,-1.0549927,1.125316612,110.3629092,0.0,0.0,1.0,41.26660650909937
0.067947351,17.87067642,5.276574529,0.0001016,01/01/2023 11:00,01/04/2024 00:00,36.25,5.0,0,0 days,975,01/04/2024 00:00,42.791946,294.16553,-0.08792114,-0.98760986,0.991515689,84.91270242,0.0,0.0,1.0,41.26660650909937
0.015444589,18.50326837,22.57106488,9.63e-05,01/01/2023 12:00,01/04/2024 00:00,36.0,4.5,0,0 days,975,01/04/2024 00:00,36.842728,295.50732,-0.19534302,-1.045227,1.063324211,79.41408296,0.0,0.0,1.0,41.26660650909937
0.007716777,6.12524149,47.1242679,0.000304679,01/01/2023 13:00,01/04/2024 00:00,36.0,4.75,0,0 days,975,01/04/2024 00:00,36.498978,296.13428,0.063446045,-0.20147705,0.211230685,107.4794533,0.0,0.0,1.0,41.26660650909937
